No,kelas,kategori,target_bulan,materi
109,SMP 2,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom
110,SMP 2,Materi Dasar Keagamaan,Agustus,Pengetahuan wajibnya taat dan haromnya maksiat
111,SMP 2,Praktik Ibadah,Januari - Maret,Praktik rutin membaca Al Quran
112,SMP 2,Praktik Ibadah,April - Juni,Praktik rutin membaca PR 13
113,SMP 2,Praktik Ibadah,Oktober - Desember,Praktik salat beserta bacaan dan doanya
114,SMP 2,Praktik Ibadah,Juli - September,Praktik sholat tasbih
115,SMP 2,Akhlaq,Juli - Agustus,Pribadi
116,SMP 2,Materi Dasar Keagamaan,Februari,Puasa Romadhon
117,SMP 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
118,SMP 2,Materi Dasar Keagamaan,Oktober,"Sholat sunah rowatib, dhuha, dan tahajud"
119,SMP 2,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Infithor
120,SMP 2,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Muthoffifin
121,SMP 2,Hafalan Surat Al Qur'an,Maret - April,Surat At Takwir
122,SMP 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
123,SMP 2,Adab/ Tatakrama,Oktober,Tata krama berpakaian
124,SMP 2,Adab/ Tatakrama,April,Tata krama bersepeda
125,SMP 2,Adab/ Tatakrama,September,Tata krama bertamu/ diajak bertamu
126,SMP 2,Adab/ Tatakrama,Januari,Tata krama di tempat pengajian dan sekolah
127,SMP 2,Adab/ Tatakrama,Maret,Tata krama ketika bersin
128,SMP 2,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
129,SMP 2,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
130,SMP 2,Adab/ Tatakrama,Maret,Tata krama ketika menguap
131,SMP 2,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
132,SMP 2,Adab/ Tatakrama,November,Tata krama terhadap kerabat
133,SMP 2,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
134,SMP 2,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
135,SMP 2,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
136,SMP 2,Adab/ Tatakrama,Februari,Tata krama tidur
137,SMP 2,Materi Dasar Keagamaan,Januari,Thoharoh dan Sholat
138,SMP 2,Hafalan Surat Al Qur'an,Mei,Tiga ayat terakhir surat al Baqoroh
139,SMP 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
140,SMP 3,Hafalan Surat Al Qur'an,November - Desember,4 Roda Berputar
141,SMP 3,Hafalan Surat Al Qur'an,Mei - Juni,5 Usaha Mecari Kefahaman
142,SMP 3,Baca Huruf Quran,Juli - Agustus,Al Quran 24
143,SMP 3,Baca Huruf Quran,September - Oktober,Al Quran 25
144,SMP 3,Baca Huruf Quran,November - Desember,Al Quran 26
145,SMP 3,Baca Huruf Quran,Januari - Februari,Al Quran 27
146,SMP 3,Baca Huruf Quran,Maret - April,Al Quran 28
147,SMP 3,Baca Huruf Quran,Mei - Juni,Al Quran 29
148,SMP 3,Materi Dasar Keagamaan,Juni,Aurot
149,SMP 3,Adab/ Tatakrama,Agustus,Bergaul dengan teman
150,SMP 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
151,SMP 3,Baca Huruf Quran,Maret,Hukum Bid'ah dalam bacaan
152,SMP 3,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi"
153,SMP 3,Materi Dasar Keagamaan,April,hukum mahrom
154,SMP 3,Baca Huruf Quran,Juli,Hukum Makhorijul Huruf
155,SMP 3,Baca Huruf Quran,Februari,Hukum Pembagian Waqof
156,SMP 3,Baca Huruf Quran,Januari,Hukum sifat-sifat huruf
157,SMP 3,Baca Huruf Quran,April,Hukum Takbir
158,SMP 3,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil"
159,SMP 3,Tulis Huruf Arab,Januari - Februari,Juz 29
160,SMP 3,Tulis Huruf Arab,Maret - April,Juz 30
161,SMP 3,Tulis Huruf Arab,November - Desember,K. Adillah
